instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av,trials.order,rt_zscore
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,32.7516,34.2852,-0.4344188,0.060467758,1.0,0.0,0.0,0.5332,target,34.2852,35.2862,0.0,4.0,4.0,4.0,1.0,-0.35,0.0,1.0,left,,,,,0.47784373967934163
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,35.2866,37.3049,0.396292262,-0.039175664,1.0,0.0,0.0,1.017,target,37.3049,38.3059,0.0,5.0,5.0,3.0,1.0,0.35,180.0,1.0,right,,,,,1.1091922650868287
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,38.3062,40.1577,-0.420783492,0.035294688,1.0,0.0,0.0,0.8503,target,40.1577,41.1593,0.0,6.0,6.0,2.0,1.0,-0.35,0.0,1.0,left,,,,,0.5623569984590474
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,41.1598,43.0272,0.378461392,-0.01819819,1.0,0.0,0.0,0.8669,target,43.0272,44.0289,0.0,7.0,7.0,1.0,1.0,0.35,180.0,1.0,right,,,,,0.6168109002348194
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,44.0294,45.78,0.395243372,-0.006660428,1.0,0.0,0.0,0.75,target,45.78,46.7809,0.0,8.0,8.0,11.0,1.0,0.35,0.0,0.0,right,,,,,0.23333733893435366
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,46.7812,48.5327,0.33650631,-0.015051417,1.0,0.0,0.0,0.7498,target,48.5327,49.5352,0.0,9.0,9.0,9.0,1.0,0.35,0.0,0.0,right,,,,,0.23268126782862153
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,49.536,51.152,-0.309602443,0.011170509,1.0,0.0,0.0,0.6005,target,51.152,52.153,0.0,10.0,10.0,6.0,1.0,-0.35,0.0,1.0,left,,,,,0.2570758126004592
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,52.1533,53.8547,0.309235695,-0.000367152,1.0,0.0,0.0,0.7005,target,53.8548,54.8557,0.0,11.0,11.0,5.0,1.0,0.35,180.0,1.0,right,,,,,0.07095974026563637
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,54.856,56.5407,-0.295967001,0.01326829,1.0,0.0,0.0,0.6839,target,56.5408,57.5421,0.0,12.0,12.0,10.0,1.0,-0.35,180.0,0.0,left,,,,,0.016505838489864297
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,57.5425,59.1934,-0.32953096,-0.012953804,1.0,0.0,0.0,0.6506,target,59.1934,60.1965,0.0,13.0,13.0,12.0,1.0,-0.35,180.0,0.0,left,,,,,0.09273000061454553
,,1,1,2025-12-17,posner,2023.2.2,Win32,59.88023952,6.2615,7.7565,-0.284316512,0.037553966,1.0,0.0,0.0,0.4832,target,7.7567,8.7573,0.0,0.0,0.0,0.0,1.0,-0.35,0.0,1.0,left,,,,,0.6418615161123894
,,1,1,2025-12-17,posner,2023.2.2,Win32,59.88023952,8.7582,10.3391,0.416690612,-0.039568345,1.0,0.0,0.0,0.5663,target,10.3391,11.3384,0.0,1.0,1.0,7.0,1.0,0.35,180.0,1.0,right,,,,,0.3692639716806639
,,1,1,2025-12-17,posner,2023.2.2,Win32,59.88023952,11.339,12.7357,-0.346474803,-0.011942472,1.0,0.0,0.0,0.3835,target,12.7359,13.7356,0.0,2.0,2.0,2.0,1.0,-0.35,0.0,1.0,left,,,,,0.9689129623198868
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,1.126,2.6917,-0.339612487,0.02744887,1.0,0.0,0.0,0.5504,target,2.6917,3.6927,0.0,0.0,0.0,4.0,1.0,-0.35,0.0,1.0,left,,,,,0.42142162458637317
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,3.6932,5.2441,0.372981701,0.001614639,1.0,0.0,0.0,0.5504,target,5.2441,6.2451,0.0,1.0,1.0,1.0,1.0,0.35,180.0,1.0,right,,,,,0.42142162458637317
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,6.2454,7.8467,-0.354682454,0.039289559,1.0,0.0,0.0,0.6005,target,7.8467,8.848,0.0,2.0,2.0,0.0,1.0,-0.35,0.0,1.0,left,,,,,0.2570758126004592
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,8.8483,10.5494,0.255651238,0.012378902,1.0,0.0,0.0,0.7005,target,10.5494,11.5507,0.0,3.0,3.0,3.0,1.0,0.35,180.0,1.0,right,,,,,0.07095974026563637
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,11.5513,13.3522,0.43649085,0.01883746,1.0,0.0,0.0,0.8004,target,13.3522,14.3532,0.0,4.0,4.0,5.0,1.0,0.35,180.0,1.0,right,,,,,0.39866725757886584
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,14.3536,16.0716,-0.326695371,0.005920344,1.0,0.0,0.0,0.7174,target,16.0717,17.073,0.0,5.0,5.0,10.0,1.0,-0.35,180.0,0.0,left,,,,,0.1263977487000066
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,17.0733,18.9579,-0.290096878,-0.016684607,1.0,0.0,0.0,0.8842,target,18.9579,19.9588,0.0,6.0,6.0,12.0,1.0,-0.35,180.0,0.0,left,,,,,0.6735610508806539
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,19.959,21.527,-0.311625404,-0.01022605,1.0,0.0,0.0,0.5671,target,21.527,22.5283,0.0,7.0,7.0,6.0,1.0,-0.35,0.0,1.0,left,,,,,0.36663968725773505
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,22.529,24.1463,0.357911733,-0.024219591,1.0,0.0,0.0,0.6005,target,24.1463,25.1476,0.0,8.0,8.0,9.0,1.0,0.35,0.0,0.0,right,,,,,0.2570758126004592
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,25.148,26.8657,-0.297631862,0.003767492,1.0,0.0,0.0,0.7166,target,26.8657,27.8673,0.0,9.0,9.0,8.0,1.0,-0.35,180.0,0.0,left,,,,,0.12377346427707776
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,27.8687,29.4684,0.324542519,-0.01883746,1.0,0.0,0.0,0.5839,target,29.4684,30.4696,0.0,10.0,10.0,11.0,1.0,0.35,0.0,0.0,right,,,,,0.3115297143762312
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,30.4701,32.2212,0.324542519,-0.026372443,1.0,0.0,0.0,0.7505,target,32.2212,33.222,0.0,11.0,11.0,13.0,1.0,0.35,0.0,0.0,right,,,,,0.23497751669868394
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,33.2223,34.9238,0.335306781,0.013455328,1.0,0.0,0.0,0.7006,target,34.9239,35.925,0.0,12.0,12.0,7.0,1.0,0.35,180.0,1.0,right,,,,,0.07128777581850243
,,1,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,35.9254,37.4429,-0.34714747,-0.004843918,1.0,0.0,0.0,0.517,target,37.4429,38.4443,0.0,13.0,13.0,2.0,1.0,-0.35,0.0,1.0,left,,,,,0.5309854992436491
