instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0,4.7381,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,4.7406,6.3209,0.391786903,0.002774695,1.0,0.0,0.0,0.5661,target,6.321,7.3201,0.0,0.0,0.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,7.3207,9.036,0.35627081,-0.000554939,1.0,0.0,0.0,0.6997,target,9.0361,10.0359,0.0,1.0,1.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,10.0363,11.619,-0.305216426,0.008324084,1.0,0.0,0.0,0.5657,target,11.619,12.6187,0.0,2.0,2.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,12.6191,14.1015,-0.371809101,0.027192009,1.0,0.0,0.0,0.4664,target,14.1015,15.101,0.0,3.0,3.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,15.1013,16.6342,-0.296337403,0.021642619,1.0,0.0,0.0,0.5165,target,16.6343,17.6339,0.0,4.0,4.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,17.6343,19.7829,-0.305216426,-0.030521643,1.0,0.0,0.0,1.1327,target,19.7829,20.7831,0.0,5.0,5.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,20.7842,22.3323,-0.259711432,0.004994451,1.0,0.0,0.0,0.5329,target,22.3323,23.3324,0.0,6.0,6.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,23.3333,24.8813,-0.423973363,0.007214206,1.0,0.0,0.0,0.5332,target,24.8813,25.881,0.0,7.0,7.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,25.8813,27.5804,0.334073252,-0.056048835,1.0,0.0,0.0,0.683,target,27.5805,28.5806,0.0,8.0,8.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,28.5817,30.2459,0.295227525,0.018312986,1.0,0.0,0.0,0.6498,target,30.2459,31.2459,0.0,9.0,9.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,31.2463,32.762,-0.405105438,0.014983352,1.0,0.0,0.0,0.4999,target,32.762,33.7617,0.0,10.0,10.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,33.762,35.2278,0.322974473,-0.008324084,1.0,0.0,0.0,0.4498,target,35.2279,36.228,0.0,11.0,11.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,36.2289,38.1767,0.334073252,0.028301887,1.0,0.0,0.0,0.9328,target,38.1767,39.1764,0.0,12.0,12.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,39.1768,40.6762,0.440621532,-0.01054384,1.0,0.0,0.0,0.4835,target,40.6763,41.6757,0.0,13.0,13.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,41.6758,0.701725,0.516366667
