instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0002,21.6894,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,21.6942,23.3246,0.43195427,-0.082179603,1.0,0.0,0.0,0.617,target,23.3247,24.3255,0.0,0.0,0.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,24.3265,26.1771,-0.290722481,0.025854707,1.0,0.0,0.0,0.8502,target,26.1772,27.1794,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,27.1806,28.8131,-0.409245831,0.035294688,1.0,0.0,0.0,0.6171,target,28.8131,29.8147,0.0,2.0,2.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,29.8154,31.7493,0.361679279,0.006975014,1.0,0.0,0.0,0.9175,target,31.7493,32.7507,0.0,3.0,3.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,32.7516,34.2852,-0.4344188,0.060467758,1.0,0.0,0.0,0.5332,target,34.2852,35.2862,0.0,4.0,4.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,35.2866,37.3049,0.396292262,-0.039175664,1.0,0.0,0.0,1.017,target,37.3049,38.3059,0.0,5.0,5.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,38.3062,40.1577,-0.420783492,0.035294688,1.0,0.0,0.0,0.8503,target,40.1577,41.1593,0.0,6.0,6.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,41.1598,43.0272,0.378461392,-0.01819819,1.0,0.0,0.0,0.8669,target,43.0272,44.0289,0.0,7.0,7.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,44.0294,45.78,0.395243372,-0.006660428,1.0,0.0,0.0,0.75,target,45.78,46.7809,0.0,8.0,8.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,46.7812,48.5327,0.33650631,-0.015051417,1.0,0.0,0.0,0.7498,target,48.5327,49.5352,0.0,9.0,9.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,49.536,51.152,-0.309602443,0.011170509,1.0,0.0,0.0,0.6005,target,51.152,52.153,0.0,10.0,10.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,52.1533,53.8547,0.309235695,-0.000367152,1.0,0.0,0.0,0.7005,target,53.8548,54.8557,0.0,11.0,11.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,54.856,56.5407,-0.295967001,0.01326829,1.0,0.0,0.0,0.6839,target,56.5408,57.5421,0.0,12.0,12.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,57.5425,59.1934,-0.32953096,-0.012953804,1.0,0.0,0.0,0.6506,target,59.1934,60.1965,0.0,13.0,13.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,111,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,60.1971,0.7920125,0.678066667
