instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0002,5.1662,1,1,2025-12-17,posner,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,
,,1,1,2025-12-17,posner,2023.2.2,MacIntel,59.88023952,5.1727,9.2996,-0.348955029,0.045199477,1.0,0.0,0.0,3.116,target,9.2998,10.2998,0.0,0.0,0.0,10.0,1.0,-0.35,180.0,0.0,left
,,1,1,2025-12-17,posner,2023.2.2,MacIntel,59.88023952,10.3007,15.366,-0.321447692,0.008903077,1.0,0.0,0.0,4.05,target,15.366,16.3661,0.0,1.0,1.0,2.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-17,posner,2023.2.2,MacIntel,59.88023952,16.3669,19.8494,0.325289499,0.000555203,1.0,0.0,0.0,2.4673,target,19.8494,20.8486,0.0,2.0,2.0,1.0,1.0,0.35,180.0,1.0,right
