instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0,12.344,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,12.346,14.179,0.331812256,-0.035853977,1.0,0.0,0.0,0.817,target,14.179,15.179,0.0,0.0,0.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,15.18,17.014,-0.394393742,0.016297262,1.0,0.0,0.0,0.834,target,17.015,18.016,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,18.017,19.901,0.360495437,-0.022816167,1.0,0.0,0.0,0.867,target,19.901,20.902,0.0,2.0,2.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,20.903,22.804,0.37874837,-0.030638853,1.0,0.0,0.0,0.901,target,22.805,23.805,0.0,3.0,3.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,23.806,25.406,-0.339634941,0.007170795,1.0,0.0,0.0,0.6,target,25.406,26.407,0.0,4.0,4.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,26.407,28.643,-0.296610169,0.0136897,1.0,0.0,0.0,1.234,target,28.643,29.645,0.0,5.0,5.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,29.645,31.495,0.399608866,-0.00065189,1.0,0.0,0.0,0.833,target,31.495,32.497,0.0,6.0,6.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,32.497,34.199,-0.343546284,-0.0136897,1.0,0.0,0.0,0.7,target,34.199,35.2,0.0,7.0,7.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,35.2,36.784,-0.316166884,-0.016297262,1.0,0.0,0.0,0.584,target,36.784,37.786,0.0,8.0,8.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,37.787,39.47,-0.32398957,-0.005867014,1.0,0.0,0.0,0.668,target,39.471,40.471,0.0,9.0,9.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,40.472,42.223,0.288787484,-0.014993481,1.0,0.0,0.0,0.75,target,42.223,43.224,0.0,10.0,10.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,43.224,44.842,0.445241199,-0.039765319,1.0,0.0,0.0,0.617,target,44.842,45.843,0.0,11.0,11.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,45.844,47.195,-0.389178618,-0.022816167,1.0,0.0,0.0,0.351,target,47.195,48.196,0.0,12.0,12.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,48.196,50.014,0.440026076,-0.048891786,1.0,0.0,0.0,0.816,target,50.014,51.015,0.0,13.0,13.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,3,1,2025-12-20,posner,2023.2.2,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,51.015,0.808875,0.6835
