instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0,78.706,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,78.709,80.574,0.327900913,0.0136897,1.0,0.0,0.0,0.848,target,80.575,81.575,0.0,0.0,0.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,81.576,83.294,-0.428292047,-0.00065189,1.0,0.0,0.0,0.716,target,83.294,84.294,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,84.295,85.897,0.385267275,0.008474576,1.0,0.0,0.0,0.6,target,85.898,86.899,0.0,2.0,2.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,86.9,88.532,0.353976532,0.004563233,1.0,0.0,0.0,0.617,target,88.532,89.534,0.0,3.0,3.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,89.535,91.519,-0.37874837,0.037157757,1.0,0.0,0.0,0.968,target,91.519,92.52,0.0,4.0,4.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,92.521,94.021,-0.290091265,0.022816167,1.0,0.0,0.0,0.5,target,94.021,95.022,0.0,5.0,5.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,95.022,96.557,0.31095176,-0.005867014,1.0,0.0,0.0,0.534,target,96.557,97.558,0.0,6.0,6.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,97.559,98.96,-0.352672751,0.0136897,1.0,0.0,0.0,0.401,target,98.96,99.961,0.0,7.0,7.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,99.961,101.546,-0.29791395,0.0410691,1.0,0.0,0.0,0.584,target,101.547,102.547,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,102.548,104.047,0.269230769,0.003259452,1.0,0.0,0.0,0.483,target,104.047,105.048,0.0,9.0,9.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,105.049,107.001,0.286179922,0.004563233,1.0,0.0,0.0,0.95,target,107.001,108.003,0.0,10.0,10.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,108.004,109.669,0.369621904,0.025423729,1.0,0.0,0.0,0.65,target,109.67,110.671,0.0,11.0,11.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,110.671,112.206,-0.269230769,0.009778357,1.0,0.0,0.0,0.534,target,112.206,113.207,0.0,12.0,12.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,113.208,114.742,-0.261408083,0.021512386,1.0,0.0,0.0,0.533,target,114.742,115.743,0.0,13.0,13.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,115.743,0.608375,0.675166667
