instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0002,1.6561,1,1,2025-12-14,posner,2023.2.2,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,
,,1,1,2025-12-14,posner,2023.2.2,MacIntel,59.52380952,1.6634,7.0574,0.281689031,-0.087035077,1.0,0.0,0.0,4.3839,target,7.0577,8.0561,0.0,0.0,0.0,11.0,1.0,0.35,0.0,0.0,right
,,1,1,2025-12-14,posner,2023.2.2,MacIntel,59.52380952,8.0571,10.0055,-0.42139094,0.018005899,1.0,0.0,0.0,0.9334,target,10.0055,11.0113,0.0,1.0,1.0,4.0,1.0,-0.35,0.0,1.0,left
