instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0003,0.7774,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,0.7831,2.5436,-0.2813938,0.00887574,1.0,0.0,0.0,0.7496,target,2.544,3.5427,0.0,0.0,0.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,3.5433,5.2917,0.361604288,-0.051610823,1.0,0.0,0.0,0.7329,target,5.2918,6.2911,0.0,1.0,1.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,6.2914,7.8406,-0.376068356,-0.006903353,1.0,0.0,0.0,0.533,target,7.8408,8.8405,0.0,2.0,2.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,8.8408,10.6226,-0.42209073,0.011505548,1.0,0.0,0.0,0.7662,target,10.6226,11.6225,0.0,3.0,3.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,11.6229,13.4215,0.397107247,-0.008218318,1.0,0.0,0.0,0.7832,target,13.4216,14.421,0.0,4.0,4.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,14.4212,15.9534,-0.274819158,-0.001643676,1.0,0.0,0.0,0.5159,target,15.9535,16.9534,0.0,5.0,5.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,16.9536,18.4197,-0.394477318,0.022024963,1.0,0.0,0.0,0.4497,target,18.4198,19.4194,0.0,6.0,6.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,19.4196,21.1017,0.403681828,-0.008218318,1.0,0.0,0.0,0.6667,target,21.1018,22.1007,0.0,7.0,7.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,22.101,24.5666,0.310322237,-0.037146634,1.0,0.0,0.0,1.4492,target,24.5667,25.566,0.0,8.0,8.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,25.5662,27.4654,0.355029586,-0.02399741,1.0,0.0,0.0,0.883,target,27.4655,28.4647,0.0,9.0,9.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,28.4649,30.4301,-0.382642998,0.035174187,1.0,0.0,0.0,0.9493,target,30.4301,31.4299,0.0,10.0,10.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,31.4302,33.0129,0.326101329,-0.008218318,1.0,0.0,0.0,0.5666,target,33.013,34.0121,0.0,11.0,11.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,34.0122,35.7778,0.290598371,-0.008218318,1.0,0.0,0.0,0.7495,target,35.7778,36.7776,0.0,12.0,12.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,36.7777,38.3938,-0.35634449,-0.013477995,1.0,0.0,0.0,0.5997,target,38.3939,39.3932,0.0,13.0,13.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,111,1,2025-12-20,posner,2023.2.2,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,39.3935,0.7121,0.78295
